
證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,漲跌幅
"6216","居易","9177327","444759287","51.00","51.00","46.80","47.05","-3.8500","5795","-7.56"
"2211","長榮鋼","2006833","300605634","155.00","155.00","146.50","147.00","-9.0000","2858","-5.77"
"1522","堤維西","17234571","1168513511","69.00","69.90","66.70","66.90","-3.7000","13323","-5.24"
"6625","必應","3130312","316268319","106.00","107.50","98.00","98.30","-5.2000","2695","-5.02"
"6152","百一","5450654","68168992","12.95","13.00","12.00","12.40","-0.6000","2346","-4.62"
"4952","凌通","5923335","418914137","72.80","73.50","68.80","68.90","-3.3000","5315","-4.57"
"4555","氣立","30841","1814957","61.00","61.00","57.60","58.40","-2.5000","64","-4.11"
"912000","晨訊科-DR","4750571","14406305","3.08","3.11","2.97","3.05","-0.1200","896","-3.79"
"1617","榮星","46243601","1405513443","30.50","32.25","27.75","28.25","-1.1000","20213","-3.75"
"1435","中福","14343","663933","47.00","47.25","45.50","45.50","-1.7500","24","-3.70"
"2365","昆盈","31231980","1037079320","34.55","35.25","32.10","32.85","-1.1500","17445","-3.38"
"1447","力鵬","5477901","56964829","10.75","10.75","10.25","10.25","-0.3500","1882","-3.30"
"2867","三商壽","30852009","232676418","7.61","7.65","7.50","7.52","-0.2400","6788","-3.09"
"2368","金像電","11304274","2149096814","196.00","196.00","188.00","188.50","-6.0000","11644","-3.08"
"4540","全球傳動","703093","22764843","33.35","33.55","31.80","32.25","-1.0000","644","-3.01"
"6914","阜爾運通","630039","102052154","168.50","168.50","159.50","161.50","-5.0000","949","-3.00"
"3010","華立","2822476","382347948","137.50","138.00","133.50","133.50","-4.0000","4205","-2.91"
"1512","瑞利","37946","328139","8.88","8.88","8.57","8.65","-0.2500","37","-2.81"
"6579","研揚","787183","142029822","184.50","184.50","177.50","177.50","-5.0000","5212","-2.74"
"6689","伊雲谷","4411024","479368538","110.00","113.00","105.00","108.00","-3.0000","3613","-2.70"
