
證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,漲跌幅
"6890","來億-KY","7869075","1505234342","176.00","216.00","175.00","216.00","32.0000","8072","17.39"
"2392","正崴","22743483","1679950261","69.50","75.90","69.00","75.90","6.9000","13149","10.00"
"3376","新日興","9856365","2601936059","248.00","269.50","247.50","269.50","24.5000","5942","10.00"
"5484","慧友","1219629","67079595","55.00","55.00","55.00","55.00","5.0000","836","10.00"
"1587","吉茂","7195712","450658042","60.10","66.10","58.60","66.10","6.0000","5412","9.98"
"2241","艾姆勒","6726953","298408850","42.40","46.85","42.00","46.85","4.2500","4017","9.98"
"3040","遠見","592659","21803591","34.70","38.05","34.70","38.05","3.4500","493","9.97"
"6515","穎崴","1720527","1666890781","918.00","993.00","918.00","993.00","90.0000","2601","9.97"
"2438","翔耀","2041726","64262778","29.25","32.55","29.25","32.55","2.9500","1030","9.97"
"8028","昇陽半導體","62092947","4574266896","71.00","77.50","68.60","77.50","7.0000","38278","9.93"
"4562","穎漢","15798100","657271221","40.10","42.65","40.10","42.65","3.8500","9950","9.92"
"3048","益登","25803339","920092289","34.25","36.75","33.80","36.75","3.3000","12863","9.87"
"9958","世紀鋼","17934003","6330567134","335.00","362.00","331.00","362.00","32.5000","12272","9.86"
"6451","訊芯-KY","16444146","3382660411","193.00","212.00","190.50","212.00","19.0000","13468","9.84"
"6916","華凌","738379","21259638","27.75","29.05","27.75","29.05","2.6000","400","9.83"
"2486","一詮","53242469","6289270716","114.00","123.00","113.00","123.00","11.0000","27888","9.82"
"4588","玖鼎電力","2165963","245967438","108.00","118.00","104.00","118.00","10.5000","1955","9.77"
"2455","全新","6802645","1021135029","142.50","153.00","142.00","153.00","13.5000","5024","9.68"
"3593","力銘","658897","8370292","11.90","13.05","11.90","13.05","1.1500","379","9.66"
"6789","采鈺","13749065","4562129839","313.00","342.00","312.00","340.00","29.0000","19621","9.32"
