
證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,漲跌幅
"00911","兆豐洲際半導體","615175","19071005","30.72","31.27","30.72","31.02","1.3200","297","4.44"
"00830","國泰費城半導體","16942453","864393722","50.90","51.25","50.85","51.15","2.0300","4086","4.13"
"00670L","富邦NASDAQ正2","2309737","291454118","126.05","126.40","126.00","126.10","4.5500","928","3.74"
"00861","元大全球未來通訊","1180752","50380083","42.25","42.77","42.25","42.71","1.4100","623","3.41"
"02001L","富邦蘋果正二N","82000","2201310","26.74","27.00","26.71","26.96","0.8500","19","3.26"
"00757","統一FANG+","5353294","463644391","86.20","86.90","86.20","86.80","2.6000","2448","3.09"
"00893","國泰智能電動車","19513773","431997430","21.90","22.30","21.87","22.20","0.6600","2391","3.06"
"020034","元大IC設計N","146000","1240650","8.30","8.55","8.30","8.51","0.2500","31","3.03"
"00947","台新臺灣IC設計","35232471","548422843","15.30","15.68","15.30","15.62","0.4500","6038","2.97"
"00891","中信關鍵半導體","19397948","373420607","19.02","19.39","18.96","19.30","0.5300","5790","2.82"
"00685L","群益臺灣加權正2","494572","41365725","83.40","84.50","82.70","83.60","2.2000","263","2.70"
"00904","新光臺灣半導體30","3054933","57212055","18.57","18.89","18.57","18.76","0.4900","690","2.68"
"020028","元大特選電動車N","133000","1214170","9.10","9.19","9.10","9.19","0.2400","32","2.68"
"00631L","元大台灣50正2","3314688","776286479","234.00","236.90","231.25","234.20","6.1000","4601","2.67"
"00892","富邦台灣半導體","6858294","117110086","16.90","17.16","16.90","17.14","0.4400","2344","2.63"
"00894","中信小資高價30","2614893","54121969","20.57","20.79","20.54","20.76","0.5300","473","2.62"
"020038","元大ESG配息N","42000","331670","7.89","7.91","7.86","7.91","0.2000","14","2.59"
"020029","元大ESG高股息N","80000","731220","9.13","9.16","9.10","9.16","0.2200","17","2.46"
"00675L","富邦臺灣加權正2","2305758","216332026","93.60","95.00","92.80","93.70","2.2500","1939","2.46"
"00770","國泰北美科技","1301541","60867716","46.60","46.82","46.60","46.76","1.1000","641","2.41"
